feature,permutation_importance_mean,permutation_importance_std,model_specific_importance,model_specific_abs_importance
churn_risk_proxy,0.028207777937656164,0.0020126411110414914,0.33336628939963586,0.33336628939963586
is_month_to_month,0.02054168247282435,0.004456730400109596,0.2876538757853985,0.2876538757853985
Contract_encoded,0.012674794301934633,0.0028668512484966062,-0.24183743834864657,0.24183743834864657
commitment_proxy,0.009689065627166493,0.002406660243527643,-0.19897588437365807,0.19897588437365807
PaymentMethod_encoded,0.005696757230499605,0.0006102200333149379,-0.11937662409425816,0.11937662409425816
InternetService_encoded,0.005394587099559156,0.0024692899251478584,0.15379629987384974,0.15379629987384974
TechSupport_Yes,0.003936060277054687,0.0013428060594404031,-0.09698289142969443,0.09698289142969443
is_long_tenure_48m,0.0034285191047392694,0.0014413791276276045,-0.12351690875000132,0.12351690875000132
internet_addon_adoption_rate,0.003064868470966808,0.001403909518692736,0.14011499846213998,0.14011499846213998
is_electronic_check,0.0030459010817952326,0.00050702677605006,0.059911973596335426,0.059911973596335426
security_bundle,0.0018509555639855345,0.0011723851981198664,0.06258452432152593,0.06258452432152593
PaperlessBilling,0.0015873742592907413,0.0017085336208693793,0.07532467954621597,0.07532467954621597
monthly_value_proxy,0.0013270631941082688,0.0007147621491574045,0.06195945251450773,0.06195945251450773
MonthlyCharges_normalized,0.0013270631941082688,0.0007147621491574045,0.061959452514507074,0.061959452514507074
is_new_customer_0_6m,0.001034703781704982,0.0015979684646792692,0.1797618775119538,0.1797618775119538
high_total_value,0.0009575261292137371,0.0006347783399837011,0.05066455944413899,0.05066455944413899
segment_id,0.0006730152916399224,0.0009031887657518862,0.06832588768682284,0.06832588768682284
DeviceProtection_NoInternet,0.0005821026331968238,0.00035396018641486467,-0.0308149146769885,0.0308149146769885
monetary_proxy,0.000576216202074642,0.0006138559262760285,0.03668977673507073,0.03668977673507073
DeviceProtection_Yes,0.0005513623817808621,0.00013103176808133024,0.012298971695311666,0.012298971695311666
addon_count,0.0005415516632438333,0.0007447121650501814,-0.05068974189181151,0.05068974189181151
charges_per_tenure_month,0.0004558713880204124,0.0008504851234054659,-0.07079875197447986,0.07079875197447986
StreamingMovies_No,0.00043559590304393937,0.00036136013433962885,-0.027220967688347218,0.027220967688347218
has_internet,0.00042316899289704943,0.0005961803593253535,-0.05292504268146254,0.05292504268146254
OnlineBackup_NoInternet,0.0002433058197182536,0.000128360129399191,-0.009347172333266044,0.009347172333266044
frequency_proxy,0.00012099886195662268,0.0004223954580488328,-0.03910909373472358,0.03910909373472358
service_depth_proxy,0.00012099886195662268,0.0004223954580488328,-0.03910909373472358,0.03910909373472358
MultipleLines_NoPhoneService,0.00010988004761467441,0.0003530198939596061,-0.024365222421509257,0.024365222421509257
TechSupport_No,7.91397961986906e-05,2.8388994223748367e-05,0.0018378522010921584,0.0018378522010921584
StreamingTV_No,5.42859759048886e-05,1.5832823311464526e-05,0.001179085031668504,0.001179085031668504
StreamingTV_NoInternet,5.101573639259005e-05,0.00012990056571090142,-0.01901697471663825,0.01901697471663825
new_x_fiber,-2.9432155611042178e-05,4.550218355438808e-05,0.002815359325643917,0.002815359325643917
discounted_lifetime_value,-2.9432155611086586e-05,9.793261728648969e-05,-0.007183974116073593,0.007183974116073593
retention_leverage_score,-3.1394299318421304e-05,0.0001025959145217348,-0.007077614613737521,0.007077614613737521
OnlineBackup_Yes,-4.0550969952990454e-05,0.00015657037975549506,0.011788322979033187,0.011788322979033187
StreamingMovies_NoInternet,-5.232383219742065e-05,2.6243544740484985e-05,-0.0023288298719337562,0.0023288298719337562
OnlineSecurity_No,-6.802098185676453e-05,0.00028029138729038797,0.02262121779741685,0.02262121779741685
is_established_customer_24m,-0.00011903671824926576,0.00010002015653311299,-0.017386091252686777,0.017386091252686777
OnlineBackup_No,-0.00012099886195666709,2.3582032489614063e-05,-0.0025091881366527524,0.0025091881366527524
expected_lifetime_months,-0.00017920912527624733,0.00029576708579044707,0.03311730076900604,0.03311730076900604
TechSupport_NoInternet,-0.00022303033474171396,0.0011042885593859437,0.09452889767420401,0.09452889767420401
tenure_normalized,-0.00023480319698614415,0.00023184499042079424,-0.029351059280642074,0.029351059280642074
recency_proxy,-0.00023480319698614415,0.00023184499042079424,0.029351059280641908,0.029351059280641908
high_monthly_charge,-0.00024134367601083006,0.0011156193829096586,-0.07112714314325037,0.07112714314325037
total_value_proxy,-0.00027731631064660257,0.00023497894075010813,-0.024893710516167348,0.024893710516167348
TotalCharges_normalized,-0.00027731631064660257,0.00023497894075010813,-0.024893710516167154,0.024893710516167154
tenure_x_monthlycharges,-0.0002812405980614274,0.0001826305068181811,-0.02216124028900121,0.02216124028900121
StreamingMovies_Yes,-0.0002962836998181784,0.00048830096812434,0.02946151122929739,0.02946151122929739
Partner,-0.0003472994362106796,0.0003710671475594475,0.02531785277951955,0.02531785277951955
Dependent,-0.000348607532015599,0.0007184072402533429,0.03313003421931086,0.03313003421931086
DeviceProtection_No,-0.00035187777152798636,0.00036117186085912436,0.018429217245636315,0.018429217245636315
projected_remaining_months,-0.00036103444216253335,0.0007619043290068792,0.05721763024635399,0.05721763024635399
PhoneService,-0.000373461352309401,0.00038668228004163507,0.03265686872286669,0.03265686872286669
gender,-0.0004074718432378166,0.00041170536141501565,0.0425495927083526,0.0425495927083526
is_auto_pay,-0.0004087799390426472,0.0007340941120365412,0.08959019686083049,0.08959019686083049
MultipleLines_No,-0.0005140816513401703,0.00022953633856752964,-0.020731825348839335,0.020731825348839335
StreamingTV_Yes,-0.00052454641777957,0.0003101083829130945,0.017635158138847282,0.017635158138847282
MultipleLines_Yes,-0.0007462686567164311,0.0008220510544281545,0.044865520556201514,0.044865520556201514
SeniorCitizen,-0.0008469920336965142,0.0013903618565146764,0.0898715559909296,0.0898715559909296
mtm_x_echeck,-0.0008522244169163029,0.0020767154898771573,-0.10359747786698029,0.10359747786698029
OnlineSecurity_NoInternet,-0.0009176292071631398,0.0011422747666725427,0.0763421774001604,0.0763421774001604
OnlineSecurity_Yes,-0.0011347731107826276,0.0012683943401084767,-0.09842025046071336,0.09842025046071336
