customerID,Customer_Segment,expected_lifetime_months,CLV,churn_probability,clv_percentile,retention_opportunity_score,intervention_roi_score,portfolio_bucket,lifetime_stage
ID-000001,At-Risk New Customers,79.0,1115.96,0.11290322580645161,0.021013772540110748,0.13254303184247268,0.002372522706141536,HARVEST,Established
ID-000002,Stable Value Seekers,96.0,3689.2,0.07004310344827586,0.4773534005395428,0.45933791193740686,0.03343531361537746,HARVEST,Established
ID-000003,At-Risk New Customers,74.0,4741.75,0.11290322580645161,0.6598040607695584,0.5631796132827742,0.07449400686107918,HARVEST,Established
ID-000004,At-Risk New Customers,87.0,1985.04,0.11290322580645161,0.17620332244782053,0.23576402373613922,0.019893923502173283,HARVEST,Established
ID-000005,High Value Loyalists,79.0,3164.43,0.21428571428571427,0.38619906289933265,0.33288744434904344,0.082756942049857,HARVEST,Established
ID-000006,Stable Value Seekers,96.0,6633.3,0.07004310344827586,0.9434899900610535,0.8259043075068854,0.06608496697625912,GROW,Established
ID-000007,High Value Loyalists,69.0,5719.03,0.21428571428571427,0.8185432344171518,0.601622813857633,0.17540212166081823,GROW,Established
ID-000008,Low Engagement Churn Risk,63.0,1549.98,0.35386168601716306,0.09882152491835866,0.13408767512190553,0.03496915142239749,HARVEST,Established
ID-000009,High Value Loyalists,80.0,6357.7,0.21428571428571427,0.9143830753940082,0.6688087601678386,0.1959392304415732,GROW,Established
ID-000010,Low Engagement Churn Risk,63.0,1401.87,0.35386168601716306,0.07255430924322022,0.12127478362504399,0.025674190196616545,HARVEST,Established
ID-000011,Low Engagement Churn Risk,65.0,1877.92,0.35386168601716306,0.15689336930285389,0.162457532913282,0.055518552186421294,HARVEST,Established
ID-000012,Low Engagement Churn Risk,65.0,4326.4,0.35386168601716306,0.5845520374840267,0.3742738084668267,0.2068505695488656,RETAIN,Established
ID-000013,At-Risk New Customers,84.0,1961.74,0.11290322580645161,0.17137583416157887,0.23299667307668046,0.019348884502113743,HARVEST,Established
ID-000014,Stable Value Seekers,81.0,1333.57,0.07004310344827586,0.05849779923328127,0.16604121739736738,0.004097367403193193,HARVEST,Established
ID-000015,At-Risk New Customers,77.0,4279.56,0.11290322580645161,0.5746130910123527,0.5082851153731068,0.06487567156591079,HARVEST,Established
ID-000016,At-Risk New Customers,81.0,3971.94,0.11290322580645161,0.5266221780491268,0.47174896044337694,0.05945734268296593,HARVEST,Established
ID-000017,Stable Value Seekers,99.0,2101.59,0.07004310344827586,0.19849495953428936,0.2616664757531538,0.01390320298462156,HARVEST,Established
ID-000018,At-Risk New Customers,92.0,2048.42,0.11290322580645161,0.18855601306261535,0.2432916926115254,0.0212885821199727,HARVEST,Established
ID-000019,At-Risk New Customers,92.0,5079.68,0.11290322580645161,0.712622462019026,0.6033156994780919,0.08045737474408358,GROW,Established
ID-000020,Low Engagement Churn Risk,70.0,4854.31,0.35386168601716306,0.6776941644185717,0.41994292972878183,0.2398099996251483,RETAIN,Established
ID-000021,Stable Value Seekers,96.0,5055.73,0.07004310344827586,0.7086468834303564,0.6294829398024792,0.04963582696441074,GROW,Established
ID-000022,At-Risk New Customers,99.0,1138.52,0.11290322580645161,0.02498935112878035,0.13522249239515036,0.0028213783532493944,HARVEST,Established
ID-000023,High Value Loyalists,96.0,3694.74,0.21428571428571427,0.47863126508590087,0.3886742813505702,0.10256384251840732,HARVEST,Established
ID-000024,At-Risk New Customers,84.0,4753.37,0.11290322580645161,0.6615078801647025,0.5645597255000665,0.07468637356698254,HARVEST,Established
ID-000025,Low Engagement Churn Risk,73.0,3482.72,0.35386168601716306,0.4429930427374698,0.3012876475183956,0.15675826499695425,HARVEST,Established
ID-000026,Stable Value Seekers,104.0,5001.05,0.07004310344827586,0.7001277864546358,0.6226747979221968,0.049039122973654446,GROW,Established
ID-000027,At-Risk New Customers,81.0,2854.73,0.11290322580645161,0.32983103790998153,0.33905746558269295,0.037238988151126945,HARVEST,Established
ID-000028,At-Risk New Customers,74.0,5404.11,0.11290322580645161,0.7665767428652562,0.6418483850767276,0.08654898709769021,GROW,Established
ID-000029,Low Engagement Churn Risk,93.0,5125.33,0.35386168601716306,0.7201476643475792,0.4433886785200815,0.2548326666873564,RETAIN,Established
ID-000030,At-Risk New Customers,92.0,3806.61,0.11290322580645161,0.4985091580292489,0.45211264780267657,0.05628329203556036,HARVEST,Established
ID-000031,Low Engagement Churn Risk,83.0,2353.16,0.35386168601716306,0.2439301434047991,0.20357020967358494,0.08631753181563058,HARVEST,Established
ID-000032,Stable Value Seekers,103.0,3698.22,0.07004310344827586,0.4790572199346869,0.4604609814282654,0.033554654413528714,HARVEST,Established
ID-000033,High Value Loyalists,96.0,1185.64,0.21428571428571427,0.03237256850773818,0.12472535954911308,0.006936978965943896,HARVEST,Established
ID-000034,High Value Loyalists,83.0,2580.27,0.21428571428571427,0.28184012494675564,0.2714357675886357,0.06039431248859049,HARVEST,Established
ID-000035,At-Risk New Customers,91.0,4384.0,0.11290322580645161,0.5933551043589379,0.520689497470698,0.06699170533084782,HARVEST,Established
ID-000036,At-Risk New Customers,103.0,3117.97,0.11290322580645161,0.3783898906715888,0.37032258951384855,0.04272143926937293,HARVEST,Established
ID-000037,At-Risk New Customers,91.0,1784.57,0.11290322580645161,0.1407780775237825,0.21195411872748257,0.015894299075265763,HARVEST,Established
ID-000038,Low Engagement Churn Risk,71.0,1553.29,0.35386168601716306,0.0999574045151214,0.13437402088420794,0.03537109569162045,HARVEST,Established
ID-000039,High Value Loyalists,86.0,5763.49,0.21428571428571427,0.8250745420985376,0.6062998570457455,0.17680168759254375,GROW,Established
ID-000040,At-Risk New Customers,92.0,5732.11,0.11290322580645161,0.8205310237114866,0.6808050810553746,0.09264059945129687,GROW,Established
ID-000041,High Value Loyalists,84.0,1445.1,0.21428571428571427,0.0800795115717734,0.15201968311158806,0.017159895336808586,HARVEST,Established
ID-000042,Low Engagement Churn Risk,73.0,1522.17,0.35386168601716306,0.09371006673292631,0.13168185166280272,0.03316040221089417,HARVEST,Established
ID-000043,High Value Loyalists,97.0,4458.66,0.21428571428571427,0.6072696294192815,0.4690361084370032,0.13012920630413174,HARVEST,Established
ID-000044,High Value Loyalists,95.0,7197.75,0.21428571428571427,0.9815419565526055,0.7571792084398541,0.21033041926127258,GROW,Established
ID-000045,High Value Loyalists,96.0,1649.56,0.21428571428571427,0.11656964361777651,0.17352819076434245,0.024979209346666392,HARVEST,Established
ID-000046,Stable Value Seekers,81.0,5871.58,0.07004310344827586,0.8452364049410762,0.7310634546713215,0.059202980949536584,GROW,Established
ID-000047,At-Risk New Customers,92.0,4132.23,0.11290322580645161,0.5510435893795258,0.4907866701946493,0.0622145988009142,HARVEST,Established
ID-000048,Stable Value Seekers,108.0,6703.01,0.07004310344827586,0.9490274030952719,0.8345838168425561,0.06647282457025072,GROW,Established
ID-000049,Stable Value Seekers,116.0,1530.99,0.07004310344827586,0.0949879312792844,0.1906217472072673,0.006653249496932635,HARVEST,Established
ID-000050,Low Engagement Churn Risk,63.0,4895.85,0.35386168601716306,0.6843674570495527,0.42353652579103035,0.24217142220683313,RETAIN,Established
ID-000051,Stable Value Seekers,101.0,7466.02,0.07004310344827586,0.9924747976714469,0.9295852860465463,0.0695160149231078,GROW,Established
ID-000052,At-Risk New Customers,91.0,4237.47,0.11290322580645161,0.5682237682805623,0.5032860686238957,0.06415429641877317,HARVEST,Established
ID-000053,High Value Loyalists,104.0,2179.14,0.21428571428571427,0.21326139429220503,0.22923823420924921,0.0456988702054725,HARVEST,Established
ID-000054,At-Risk New Customers,104.0,1301.68,0.11290322580645161,0.05359931847224194,0.1546010732362359,0.0060515359565434445,HARVEST,Established
ID-000055,At-Risk New Customers,89.0,4749.55,0.11290322580645161,0.6610819253159165,0.5641060225164128,0.0746382818905067,HARVEST,Established
ID-000056,At-Risk New Customers,92.0,2621.1,0.11290322580645161,0.28950731222490417,0.3113091336269267,0.03268630944474724,HARVEST,Established
ID-000057,High Value Loyalists,116.0,5840.51,0.21428571428571427,0.8392730370580719,0.6144021032524125,0.1798442222267297,GROW,Established
ID-000058,Low Engagement Churn Risk,78.0,1216.2,0.35386168601716306,0.039045861138719294,0.10521260305504684,0.013816834254539235,HARVEST,Established
ID-000059,At-Risk New Customers,87.0,2301.88,0.11290322580645161,0.23356524208433907,0.2733952418881958,0.02637026926758667,HARVEST,Established
ID-000060,Low Engagement Churn Risk,65.0,2017.94,0.35386168601716306,0.1814567655828482,0.17457056422373066,0.06421059700836779,HARVEST,Established
ID-000061,Low Engagement Churn Risk,75.0,1639.66,0.35386168601716306,0.11514979412182309,0.14184582858513248,0.04074710029247753,HARVEST,Established
